adm_nm,Bus_Stop_Count
서울특별시 종로구 사직동,28
서울특별시 종로구 삼청동,16
서울특별시 종로구 부암동,33
서울특별시 종로구 평창동,55
서울특별시 종로구 무악동,3
서울특별시 종로구 교남동,23
서울특별시 종로구 가회동,22
서울특별시 종로구 종로1·2·3·4가동,71
서울특별시 종로구 종로5·6가동,21
서울특별시 종로구 이화동,17
서울특별시 종로구 창신1동,9
서울특별시 종로구 창신2동,1
서울특별시 종로구 창신3동,6
서울특별시 종로구 숭인1동,10
서울특별시 종로구 숭인2동,9
서울특별시 종로구 청운효자동,29
서울특별시 종로구 혜화동,37
서울특별시 중구 소공동,37
서울특별시 중구 회현동,35
서울특별시 중구 명동,32
서울특별시 중구 필동,10
서울특별시 중구 장충동,13
서울특별시 중구 광희동,24
서울특별시 중구 을지로동,16
서울특별시 중구 신당5동,9
서울특별시 중구 황학동,6
서울특별시 중구 중림동,9
서울특별시 중구 신당동,8
서울특별시 중구 다산동,8
서울특별시 중구 약수동,12
서울특별시 중구 청구동,3
서울특별시 중구 동화동,6
서울특별시 용산구 후암동,17
서울특별시 용산구 용산2가동,27
서울특별시 용산구 남영동,19
서울특별시 용산구 원효로2동,26
서울특별시 용산구 효창동,15
서울특별시 용산구 용문동,20
서울특별시 용산구 이촌1동,25
서울특별시 용산구 이촌2동,10
서울특별시 용산구 이태원1동,15
서울특별시 용산구 이태원2동,21
서울특별시 용산구 서빙고동,23
서울특별시 용산구 보광동,12
서울특별시 용산구 청파동,21
서울특별시 용산구 원효로1동,22
서울특별시 용산구 한강로동,40
서울특별시 용산구 한남동,39
서울특별시 성동구 왕십리2동,11
서울특별시 성동구 마장동,29
서울특별시 성동구 사근동,40
서울특별시 성동구 행당1동,28
서울특별시 성동구 행당2동,29
서울특별시 성동구 응봉동,31
서울특별시 성동구 금호1가동,31
서울특별시 성동구 금호4가동,28
서울특별시 성동구 성수1가1동,32
서울특별시 성동구 성수1가2동,13
서울특별시 성동구 성수2가1동,30
서울특별시 성동구 성수2가3동,20
서울특별시 성동구 송정동,13
서울특별시 성동구 용답동,9
서울특별시 성동구 왕십리도선동,28
서울특별시 성동구 금호2·3가동,44
서울특별시 성동구 옥수동,40
서울특별시 광진구 화양동,21
서울특별시 광진구 군자동,22
서울특별시 광진구 중곡1동,18
서울특별시 광진구 중곡2동,17
서울특별시 광진구 중곡3동,21
서울특별시 광진구 중곡4동,33
서울특별시 광진구 능동,10
서울특별시 광진구 구의1동,13
서울특별시 광진구 구의2동,21
서울특별시 광진구 구의3동,23
서울특별시 광진구 광장동,38
서울특별시 광진구 자양1동,13
서울특별시 광진구 자양2동,17
서울특별시 광진구 자양3동,17
